respondent_id,h1n1_vaccine,seasonal_vaccine
26939,0.06,0.11
26940,0.17,0.31
26941,0.21,0.34
26942,0.49,0.55
26943,0.37,0.58
26944,0.14,0.3
26945,0.2,0.57
26946,0.37,0.67
26947,0.26,0.51
26948,0.06,0.19
26949,0.09,0.17
26950,0.13,0.65
26951,0.1,0.44
26952,0.69,0.76
26953,0.6,0.82
26954,0.11,0.24
26955,0.26,0.61
26956,0.16,0.25
26957,0.1,0.9
26958,0.17,0.61
26959,0.14,0.31
26960,0.08,0.12
26961,0.24,0.38
26962,0.19,0.74
26963,0.17,0.46
26964,0.22,0.18
26965,0.69,0.8
26966,0.08,0.11
26967,0.22,0.53
26968,0.13,0.72
26969,0.2,0.37
26970,0.5,0.64
26971,0.15,0.36
26972,0.14,0.11
26973,0.12,0.3
26974,0.28,0.33
26975,0.19,0.59
26976,0.7,0.61
26977,0.3,0.44
26978,0.13,0.72
26979,0.51,0.72
26980,0.11,0.17
26981,0.24,0.47
26982,0.58,0.75
26983,0.2,0.42
26984,0.07,0.18
26985,0.12,0.25
26986,0.21,0.45
26987,0.14,0.3
26988,0.23,0.2
26989,0.38,0.74
26990,0.14,0.17
26991,0.34,0.49
26992,0.17,0.44
26993,0.17,0.78
26994,0.31,0.47
26995,0.25,0.39
26996,0.37,0.43
26997,0.1,0.14
26998,0.13,0.16
26999,0.51,0.51
27000,0.26,0.36
27001,0.17,0.72
27002,0.14,0.42
27003,0.06,0.11
27004,0.1,0.2
27005,0.39,0.6
27006,0.61,0.83
27007,0.11,0.3
27008,0.21,0.18
27009,0.22,0.35
27010,0.05,0.17
27011,0.29,0.19
27012,0.34,0.63
27013,0.19,0.44
27014,0.08,0.42
27015,0.13,0.17
27016,0.31,0.45
27017,0.35,0.77
27018,0.14,0.37
27019,0.86,0.91
27020,0.3,0.38
27021,0.27,0.51
27022,0.17,0.32
27023,0.25,0.1
27024,0.26,0.45
27025,0.27,0.15
27026,0.09,0.47
27027,0.12,0.61
27028,0.44,0.61
27029,0.22,0.44
27030,0.22,0.34
27031,0.32,0.65
27032,0.35,0.71
27033,0.43,0.55
27034,0.15,0.54
27035,0.11,0.32
27036,0.17,0.52
27037,0.47,0.55
27038,0.11,0.06
27039,0.67,0.84
27040,0.26,0.42
27041,0.15,0.65
27042,0.09,0.45
27043,0.45,0.68
27044,0.13,0.12
27045,0.26,0.75
27046,0.07,0.19
27047,0.47,0.47
27048,0.22,0.44
27049,0.33,0.65
27050,0.13,0.73
27051,0.22,0.31
27052,0.27,0.34
27053,0.67,0.83
27054,0.07,0.15
27055,0.16,0.85
27056,0.17,0.2
27057,0.15,0.18
27058,0.67,0.81
27059,0.19,0.21
27060,0.13,0.42
27061,0.12,0.57
27062,0.17,0.54
27063,0.13,0.65
27064,0.18,0.43
27065,0.24,0.41
27066,0.04,0.39
27067,0.44,0.6
27068,0.71,0.9
27069,0.46,0.86
27070,0.09,0.1
27071,0.16,0.14
27072,0.26,0.51
27073,0.17,0.78
27074,0.08,0.29
27075,0.65,0.87
27076,0.46,0.53
27077,0.11,0.22
27078,0.35,0.77
27079,0.42,0.88
27080,0.21,0.21
27081,0.18,0.7
27082,0.25,0.4
27083,0.19,0.31
27084,0.5,0.63
27085,0.15,0.13
27086,0.16,0.21
27087,0.31,0.41
27088,0.28,0.61
27089,0.27,0.24
27090,0.33,0.62
27091,0.51,0.45
27092,0.18,0.38
27093,0.3,0.34
27094,0.1,0.16
27095,0.23,0.49
27096,0.22,0.17
27097,0.61,0.66
27098,0.59,0.78
27099,0.3,0.57
27100,0.23,0.76
27101,0.3,0.52
27102,0.13,0.59
27103,0.06,0.09
27104,0.28,0.55
27105,0.24,0.52
27106,0.6,0.71
27107,0.6,0.68
27108,0.14,0.24
27109,0.13,0.27
27110,0.17,0.26
27111,0.15,0.43
27112,0.43,0.53
27113,0.1,0.09
27114,0.06,0.17
27115,0.51,0.63
27116,0.26,0.87
27117,0.06,0.16
27118,0.27,0.44
27119,0.21,0.38
27120,0.35,0.81
27121,0.09,0.66
27122,0.1,0.37
27123,0.14,0.22
27124,0.15,0.27
27125,0.13,0.14
27126,0.25,0.21
27127,0.09,0.18
27128,0.2,0.61
27129,0.49,0.57
27130,0.18,0.34
27131,0.2,0.17
27132,0.46,0.81
27133,0.25,0.47
27134,0.67,0.88
27135,0.26,0.45
27136,0.1,0.61
27137,0.13,0.22
27138,0.22,0.52
27139,0.22,0.25
27140,0.87,0.84
27141,0.54,0.59
27142,0.14,0.26
27143,0.28,0.42
27144,0.12,0.19
27145,0.56,0.78
27146,0.16,0.79
27147,0.2,0.21
27148,0.26,0.28
27149,0.39,0.22
27150,0.57,0.84
27151,0.3,0.74
27152,0.08,0.21
27153,0.19,0.64
27154,0.5,0.87
27155,0.22,0.7
27156,0.29,0.33
27157,0.22,0.66
27158,0.15,0.28
27159,0.08,0.24
27160,0.44,0.42
27161,0.33,0.56
27162,0.22,0.76
27163,0.53,0.57
27164,0.44,0.33
27165,0.56,0.51
27166,0.27,0.31
27167,0.15,0.49
27168,0.24,0.53
27169,0.36,0.54
27170,0.46,0.8
27171,0.16,0.32
27172,0.1,0.51
27173,0.22,0.49
27174,0.19,0.24
27175,0.21,0.21
27176,0.61,0.82
27177,0.59,0.76
27178,0.09,0.25
27179,0.08,0.26
27180,0.33,0.44
27181,0.11,0.87
27182,0.6,0.83
27183,0.14,0.61
27184,0.24,0.53
27185,0.55,0.58
27186,0.26,0.76
27187,0.17,0.32
27188,0.1,0.4
27189,0.21,0.64
27190,0.5,0.79
27191,0.28,0.85
27192,0.58,0.84
27193,0.08,0.19
27194,0.29,0.41
27195,0.1,0.14
27196,0.45,0.32
27197,0.21,0.55
27198,0.67,0.84
27199,0.37,0.46
27200,0.45,0.59
27201,0.72,0.71
27202,0.11,0.25
27203,0.13,0.19
27204,0.07,0.07
27205,0.12,0.34
27206,0.21,0.34
27207,0.1,0.22
27208,0.64,0.58
27209,0.04,0.15
27210,0.33,0.47
27211,0.27,0.31
27212,0.47,0.83
27213,0.46,0.46
27214,0.17,0.06
27215,0.3,0.63
27216,0.35,0.8
27217,0.17,0.31
27218,0.57,0.78
27219,0.54,0.44
27220,0.35,0.27
27221,0.27,0.56
27222,0.29,0.5
27223,0.24,0.67
27224,0.27,0.64
27225,0.3,0.3
27226,0.13,0.32
27227,0.24,0.28
27228,0.46,0.75
27229,0.61,0.7
27230,0.31,0.73
27231,0.45,0.68
27232,0.16,0.44
27233,0.36,0.36
27234,0.13,0.15
27235,0.64,0.86
27236,0.17,0.78
27237,0.42,0.69
27238,0.45,0.68
27239,0.48,0.32
27240,0.17,0.49
27241,0.17,0.08
27242,0.25,0.54
27243,0.12,0.21
27244,0.17,0.26
27245,0.29,0.49
27246,0.7,0.82
27247,0.16,0.84
27248,0.33,0.67
27249,0.22,0.53
27250,0.14,0.22
27251,0.23,0.47
27252,0.29,0.42
27253,0.13,0.66
27254,0.88,0.85
27255,0.19,0.34
27256,0.61,0.85
27257,0.41,0.52
27258,0.48,0.81
27259,0.58,0.73
27260,0.25,0.36
27261,0.16,0.65
27262,0.27,0.45
27263,0.23,0.12
27264,0.14,0.25
27265,0.23,0.36
27266,0.32,0.3
27267,0.32,0.64
27268,0.19,0.16
27269,0.51,0.57
27270,0.11,0.2
27271,0.11,0.49
27272,0.12,0.51
27273,0.16,0.34
27274,0.12,0.42
27275,0.12,0.44
27276,0.12,0.26
27277,0.12,0.82
27278,0.23,0.39
27279,0.15,0.32
27280,0.27,0.44
27281,0.09,0.39
27282,0.14,0.8
27283,0.09,0.27
27284,0.32,0.49
27285,0.21,0.34
27286,0.2,0.38
27287,0.25,0.67
27288,0.44,0.61
27289,0.48,0.59
27290,0.11,0.15
27291,0.73,0.81
27292,0.13,0.66
27293,0.21,0.78
27294,0.12,0.12
27295,0.36,0.71
27296,0.15,0.66
27297,0.13,0.61
27298,0.12,0.25
27299,0.28,0.54
27300,0.19,0.75
27301,0.11,0.18
27302,0.36,0.66
27303,0.17,0.23
27304,0.18,0.6
27305,0.17,0.2
27306,0.32,0.52
27307,0.66,0.89
27308,0.27,0.32
27309,0.54,0.87
27310,0.25,0.34
27311,0.14,0.29
27312,0.25,0.56
27313,0.18,0.17
27314,0.14,0.06
27315,0.23,0.39
27316,0.48,0.57
27317,0.32,0.3
27318,0.3,0.33
27319,0.26,0.84
27320,0.56,0.72
27321,0.1,0.59
27322,0.37,0.33
27323,0.18,0.54
27324,0.72,0.78
27325,0.63,0.77
27326,0.16,0.66
27327,0.3,0.37
27328,0.32,0.42
27329,0.14,0.36
27330,0.09,0.55
27331,0.14,0.21
27332,0.22,0.76
27333,0.63,0.83
27334,0.17,0.13
27335,0.2,0.19
27336,0.11,0.32
27337,0.27,0.61
27338,0.19,0.36
27339,0.38,0.47
27340,0.13,0.25
27341,0.1,0.58
27342,0.19,0.46
27343,0.14,0.17
27344,0.47,0.25
27345,0.15,0.25
27346,0.63,0.86
27347,0.68,0.84
27348,0.11,0.27
27349,0.18,0.29
27350,0.22,0.81
27351,0.53,0.73
27352,0.21,0.33
27353,0.15,0.24
27354,0.36,0.73
27355,0.37,0.39
27356,0.37,0.78
27357,0.08,0.27
27358,0.4,0.63
27359,0.51,0.53
27360,0.27,0.68
27361,0.14,0.75
27362,0.35,0.45
27363,0.22,0.2
27364,0.21,0.37
27365,0.31,0.54
27366,0.46,0.68
27367,0.33,0.53
27368,0.09,0.57
27369,0.16,0.2
27370,0.21,0.81
27371,0.37,0.32
27372,0.14,0.37
27373,0.64,0.72
27374,0.06,0.29
27375,0.29,0.86
27376,0.41,0.39
27377,0.27,0.42
27378,0.08,0.23
27379,0.12,0.23
27380,0.19,0.86
27381,0.23,0.58
27382,0.37,0.26
27383,0.22,0.55
27384,0.15,0.53
27385,0.15,0.75
27386,0.16,0.79
27387,0.3,0.6
27388,0.21,0.38
27389,0.23,0.16
27390,0.06,0.15
27391,0.24,0.68
27392,0.71,0.79
27393,0.07,0.12
27394,0.09,0.58
27395,0.66,0.65
27396,0.07,0.21
27397,0.77,0.81
27398,0.43,0.68
27399,0.28,0.55
27400,0.18,0.68
27401,0.25,0.42
27402,0.17,0.58
27403,0.07,0.24
27404,0.25,0.29
27405,0.7,0.75
27406,0.09,0.38
27407,0.19,0.33
27408,0.09,0.4
27409,0.7,0.85
27410,0.39,0.37
27411,0.22,0.24
27412,0.22,0.56
27413,0.12,0.37
27414,0.48,0.6
27415,0.14,0.42
27416,0.09,0.31
27417,0.28,0.41
27418,0.44,0.24
27419,0.6,0.78
27420,0.29,0.22
27421,0.18,0.44
27422,0.41,0.53
27423,0.15,0.3
27424,0.34,0.6
27425,0.31,0.41
27426,0.18,0.3
27427,0.33,0.39
27428,0.18,0.12
27429,0.48,0.3
27430,0.3,0.53
27431,0.37,0.53
27432,0.2,0.49
27433,0.08,0.61
27434,0.13,0.26
27435,0.2,0.4
27436,0.04,0.15
27437,0.25,0.17
27438,0.11,0.18
27439,0.23,0.41
27440,0.21,0.25
27441,0.65,0.89
27442,0.43,0.75
27443,0.13,0.16
27444,0.26,0.26
27445,0.19,0.16
27446,0.19,0.2
27447,0.04,0.17
27448,0.4,0.65
27449,0.28,0.78
27450,0.26,0.69
27451,0.03,0.18
27452,0.15,0.23
27453,0.11,0.74
27454,0.21,0.3
27455,0.26,0.37
27456,0.3,0.55
27457,0.03,0.19
27458,0.22,0.53
27459,0.24,0.19
27460,0.65,0.69
27461,0.24,0.25
27462,0.13,0.38
27463,0.17,0.34
27464,0.52,0.57
27465,0.56,0.82
27466,0.06,0.13
27467,0.16,0.28
27468,0.19,0.34
27469,0.2,0.58
27470,0.73,0.88
27471,0.14,0.72
27472,0.29,0.55
27473,0.12,0.4
27474,0.29,0.43
27475,0.12,0.2
27476,0.28,0.42
27477,0.16,0.23
27478,0.17,0.67
27479,0.26,0.34
27480,0.4,0.7
27481,0.65,0.7
27482,0.42,0.33
27483,0.47,0.7
27484,0.26,0.82
27485,0.07,0.73
27486,0.16,0.27
27487,0.22,0.83
27488,0.7,0.8
27489,0.83,0.6
27490,0.04,0.41
27491,0.35,0.48
27492,0.14,0.56
27493,0.22,0.81
27494,0.54,0.7
27495,0.27,0.38
27496,0.07,0.13
27497,0.26,0.15
27498,0.19,0.6
27499,0.18,0.84
27500,0.24,0.72
27501,0.12,0.33
27502,0.12,0.48
27503,0.13,0.62
27504,0.06,0.07
27505,0.12,0.16
27506,0.31,0.75
27507,0.11,0.24
27508,0.12,0.39
27509,0.29,0.54
27510,0.54,0.34
27511,0.21,0.66
27512,0.14,0.32
27513,0.21,0.61
27514,0.47,0.7
27515,0.45,0.45
27516,0.3,0.63
27517,0.13,0.06
27518,0.61,0.83
27519,0.07,0.2
27520,0.14,0.16
27521,0.08,0.46
27522,0.15,0.18
27523,0.13,0.35
27524,0.37,0.45
27525,0.18,0.41
27526,0.53,0.56
27527,0.1,0.86
27528,0.53,0.73
27529,0.18,0.59
27530,0.1,0.14
27531,0.21,0.25
27532,0.13,0.88
27533,0.31,0.46
27534,0.24,0.25
27535,0.18,0.53
27536,0.35,0.47
27537,0.58,0.78
27538,0.31,0.4
27539,0.39,0.78
27540,0.57,0.28
27541,0.68,0.87
27542,0.17,0.22
27543,0.52,0.66
27544,0.23,0.22
27545,0.15,0.17
27546,0.58,0.58
27547,0.2,0.23
27548,0.13,0.8
27549,0.19,0.86
27550,0.22,0.26
27551,0.24,0.52
27552,0.09,0.73
27553,0.15,0.59
27554,0.3,0.31
27555,0.11,0.27
27556,0.19,0.55
27557,0.29,0.74
27558,0.21,0.37
27559,0.22,0.57
27560,0.27,0.68
27561,0.51,0.63
27562,0.36,0.55
27563,0.4,0.56
27564,0.22,0.29
27565,0.36,0.31
27566,0.28,0.4
27567,0.3,0.68
27568,0.58,0.81
27569,0.14,0.14
27570,0.53,0.51
27571,0.09,0.1
27572,0.06,0.06
27573,0.16,0.14
27574,0.37,0.46
27575,0.23,0.41
27576,0.13,0.25
27577,0.3,0.53
27578,0.26,0.47
27579,0.15,0.5
27580,0.2,0.65
27581,0.26,0.25
27582,0.09,0.17
27583,0.18,0.26
27584,0.52,0.62
27585,0.37,0.5
27586,0.61,0.73
27587,0.11,0.64
27588,0.34,0.4
27589,0.11,0.57
27590,0.36,0.65
27591,0.35,0.68
27592,0.1,0.14
27593,0.1,0.14
27594,0.23,0.64
27595,0.08,0.26
27596,0.29,0.31
27597,0.21,0.25
27598,0.25,0.23
27599,0.4,0.68
27600,0.14,0.57
27601,0.17,0.6
27602,0.75,0.72
27603,0.04,0.15
27604,0.16,0.35
27605,0.43,0.43
27606,0.22,0.36
27607,0.35,0.62
27608,0.27,0.59
27609,0.51,0.81
27610,0.49,0.68
27611,0.33,0.31
27612,0.07,0.63
27613,0.81,0.77
27614,0.14,0.4
27615,0.27,0.85
27616,0.12,0.16
27617,0.27,0.62
27618,0.17,0.59
27619,0.31,0.46
27620,0.47,0.67
27621,0.2,0.32
27622,0.53,0.78
27623,0.23,0.74
27624,0.17,0.58
27625,0.19,0.35
27626,0.12,0.21
27627,0.72,0.71
27628,0.17,0.69
27629,0.07,0.17
27630,0.39,0.65
27631,0.17,0.33
27632,0.15,0.42
27633,0.46,0.69
27634,0.17,0.26
27635,0.09,0.32
27636,0.37,0.7
27637,0.12,0.12
27638,0.23,0.32
27639,0.15,0.32
27640,0.54,0.47
27641,0.47,0.52
27642,0.41,0.72
27643,0.18,0.1
27644,0.32,0.62
27645,0.19,0.25
27646,0.13,0.45
27647,0.32,0.19
27648,0.23,0.17
27649,0.2,0.51
27650,0.2,0.51
27651,0.22,0.73
27652,0.29,0.35
27653,0.17,0.2
27654,0.61,0.71
27655,0.23,0.24
27656,0.2,0.35
27657,0.53,0.31
27658,0.11,0.47
27659,0.07,0.09
27660,0.48,0.46
27661,0.25,0.22
27662,0.14,0.2
27663,0.29,0.73
27664,0.2,0.22
27665,0.62,0.48
27666,0.25,0.74
27667,0.07,0.2
27668,0.79,0.87
27669,0.19,0.75
27670,0.44,0.84
27671,0.37,0.8
27672,0.03,0.29
27673,0.04,0.21
27674,0.11,0.47
27675,0.43,0.62
27676,0.33,0.7
27677,0.07,0.31
27678,0.29,0.32
27679,0.19,0.48
27680,0.62,0.85
27681,0.11,0.13
27682,0.15,0.84
27683,0.13,0.66
27684,0.14,0.32
27685,0.11,0.14
27686,0.24,0.35
27687,0.11,0.18
27688,0.22,0.58
27689,0.58,0.92
27690,0.73,0.87
27691,0.6,0.87
27692,0.16,0.26
27693,0.21,0.52
27694,0.2,0.44
27695,0.24,0.53
27696,0.2,0.77
27697,0.55,0.75
27698,0.28,0.5
27699,0.1,0.28
27700,0.22,0.54
27701,0.37,0.53
27702,0.32,0.35
27703,0.12,0.17
27704,0.11,0.18
27705,0.54,0.65
27706,0.19,0.83
27707,0.14,0.2
27708,0.59,0.68
27709,0.27,0.35
27710,0.2,0.28
27711,0.42,0.51
27712,0.23,0.28
27713,0.06,0.09
27714,0.15,0.23
27715,0.79,0.83
27716,0.32,0.41
27717,0.23,0.3
27718,0.18,0.46
27719,0.07,0.12
27720,0.23,0.4
27721,0.35,0.32
27722,0.36,0.37
27723,0.29,0.77
27724,0.25,0.36
27725,0.06,0.5
27726,0.16,0.22
27727,0.22,0.87
27728,0.37,0.44
27729,0.1,0.26
27730,0.58,0.75
27731,0.77,0.85
27732,0.11,0.89
27733,0.15,0.44
27734,0.16,0.36
27735,0.44,0.6
27736,0.23,0.39
27737,0.3,0.6
27738,0.42,0.91
27739,0.64,0.69
27740,0.16,0.53
27741,0.44,0.67
27742,0.24,0.46
27743,0.41,0.7
27744,0.07,0.31
27745,0.8,0.82
27746,0.3,0.62
27747,0.16,0.36
27748,0.37,0.27
27749,0.33,0.72
27750,0.25,0.19
27751,0.14,0.2
27752,0.53,0.73
27753,0.14,0.18
27754,0.28,0.77
27755,0.71,0.83
27756,0.13,0.18
27757,0.09,0.11
27758,0.11,0.72
27759,0.07,0.13
27760,0.47,0.8
27761,0.25,0.74
27762,0.24,0.19
27763,0.17,0.66
27764,0.32,0.51
27765,0.25,0.53
27766,0.71,0.7
27767,0.51,0.66
27768,0.19,0.15
27769,0.14,0.35
27770,0.17,0.57
27771,0.17,0.36
27772,0.71,0.8
27773,0.17,0.46
27774,0.17,0.19
27775,0.19,0.14
27776,0.16,0.13
27777,0.22,0.48
27778,0.27,0.28
27779,0.14,0.34
27780,0.13,0.79
27781,0.09,0.14
27782,0.65,0.83
27783,0.25,0.59
27784,0.17,0.26
27785,0.13,0.26
27786,0.22,0.22
27787,0.25,0.23
27788,0.13,0.21
27789,0.57,0.82
27790,0.57,0.59
27791,0.21,0.41
27792,0.17,0.58
27793,0.37,0.31
27794,0.28,0.26
27795,0.47,0.75
27796,0.21,0.29
27797,0.6,0.72
27798,0.34,0.2
27799,0.24,0.27
27800,0.25,0.39
27801,0.07,0.24
27802,0.49,0.79
27803,0.11,0.12
27804,0.77,0.79
27805,0.18,0.29
27806,0.56,0.79
27807,0.32,0.85
27808,0.36,0.43
27809,0.5,0.87
27810,0.09,0.22
27811,0.11,0.18
27812,0.03,0.11
27813,0.31,0.38
27814,0.19,0.18
27815,0.31,0.47
27816,0.56,0.61
27817,0.29,0.33
27818,0.36,0.71
27819,0.28,0.31
27820,0.81,0.63
27821,0.2,0.27
27822,0.12,0.29
27823,0.26,0.49
27824,0.21,0.67
27825,0.43,0.26
27826,0.29,0.61
27827,0.11,0.14
27828,0.17,0.43
27829,0.07,0.26
27830,0.33,0.34
27831,0.21,0.46
27832,0.28,0.54
27833,0.35,0.36
27834,0.71,0.74
27835,0.47,0.56
27836,0.1,0.82
27837,0.6,0.8
27838,0.26,0.5
27839,0.1,0.15
27840,0.36,0.63
27841,0.31,0.49
27842,0.29,0.73
27843,0.18,0.51
27844,0.21,0.84
27845,0.1,0.59
27846,0.29,0.34
27847,0.22,0.5
27848,0.78,0.86
27849,0.23,0.73
27850,0.21,0.29
27851,0.56,0.34
27852,0.4,0.67
27853,0.19,0.29
27854,0.19,0.68
27855,0.29,0.37
27856,0.44,0.74
27857,0.67,0.88
27858,0.56,0.83
27859,0.68,0.88
27860,0.24,0.66
27861,0.1,0.36
27862,0.11,0.38
27863,0.34,0.37
27864,0.12,0.5
27865,0.43,0.76
27866,0.75,0.71
27867,0.56,0.47
27868,0.59,0.77
27869,0.1,0.39
27870,0.38,0.27
27871,0.17,0.55
27872,0.24,0.24
27873,0.2,0.22
27874,0.44,0.76
27875,0.44,0.55
27876,0.15,0.17
27877,0.57,0.59
27878,0.17,0.64
27879,0.19,0.5
27880,0.24,0.26
27881,0.34,0.75
27882,0.16,0.4
27883,0.16,0.16
27884,0.42,0.46
27885,0.21,0.18
27886,0.18,0.23
27887,0.54,0.58
27888,0.29,0.39
27889,0.24,0.22
27890,0.24,0.32
27891,0.37,0.54
27892,0.19,0.29
27893,0.08,0.34
27894,0.13,0.45
27895,0.22,0.69
27896,0.17,0.46
27897,0.16,0.16
27898,0.2,0.2
27899,0.1,0.37
27900,0.4,0.67
27901,0.14,0.18
27902,0.12,0.3
27903,0.21,0.15
27904,0.3,0.31
27905,0.19,0.38
27906,0.21,0.69
27907,0.83,0.81
27908,0.34,0.55
27909,0.26,0.27
27910,0.26,0.47
27911,0.54,0.61
27912,0.25,0.34
27913,0.18,0.37
27914,0.16,0.28
27915,0.19,0.48
27916,0.34,0.46
27917,0.17,0.35
27918,0.38,0.89
27919,0.25,0.47
27920,0.1,0.74
27921,0.2,0.67
27922,0.35,0.66
27923,0.2,0.79
27924,0.25,0.19
27925,0.15,0.07
27926,0.18,0.32
27927,0.19,0.29
27928,0.74,0.8
27929,0.18,0.87
27930,0.26,0.25
27931,0.67,0.74
27932,0.19,0.22
27933,0.14,0.51
27934,0.4,0.6
27935,0.25,0.65
27936,0.23,0.54
27937,0.68,0.84
27938,0.09,0.31
27939,0.07,0.21
27940,0.11,0.2
27941,0.19,0.32
27942,0.09,0.28
27943,0.3,0.61
27944,0.47,0.36
27945,0.39,0.49
27946,0.1,0.07
27947,0.42,0.72
27948,0.22,0.25
27949,0.35,0.52
27950,0.16,0.82
27951,0.6,0.58
27952,0.15,0.87
27953,0.34,0.52
27954,0.25,0.69
27955,0.06,0.75
27956,0.4,0.66
27957,0.14,0.24
27958,0.51,0.63
27959,0.38,0.3
27960,0.35,0.52
27961,0.15,0.25
27962,0.57,0.8
27963,0.04,0.15
27964,0.14,0.07
27965,0.11,0.26
27966,0.52,0.71
27967,0.07,0.17
27968,0.2,0.37
27969,0.63,0.78
27970,0.21,0.3
27971,0.1,0.74
27972,0.17,0.44
27973,0.55,0.72
27974,0.26,0.37
